Group	Name	Temperature_C	Uncertainty	V0	basis	doi
Tyr	tyrosine	40	1.0	83.5	measured	10.1016/j.bpc.2008.02.009
Tyr	tyrosine	55	0.5	85.1	measured	10.1016/j.bpc.2008.02.009
Ser	serine	18	0.1	17.3	measured	10.1016/j.bpc.2008.02.009
Ser	serine	25	0.1	17.1	measured	10.1016/j.bpc.2008.02.009
Ser	serine	40	0.1	17.4	measured	10.1016/j.bpc.2008.02.009
Ser	serine	55	0.3	17.8	measured	10.1016/j.bpc.2008.02.009
Thr	threonine	18	0.3	33.3	measured	10.1016/j.bpc.2008.02.009
Thr	threonine	25	0.1	33.1	measured	10.1016/j.bpc.2008.02.009
Thr	threonine	40	0.2	33.5	measured	10.1016/j.bpc.2008.02.009
Thr	threonine	55	0.3	34.7	measured	10.1016/j.bpc.2008.02.009
Asn	asparagine	18	0.3	34.0	measured	10.1016/j.bpc.2008.02.009
Asn	asparagine	25	0.2	34.0	measured	10.1016/j.bpc.2008.02.009
Asn	asparagine	40	0.6	34.5	measured	10.1016/j.bpc.2008.02.009
Asn	asparagine	55	0.3	35.4	measured	10.1016/j.bpc.2008.02.009
Gln	glutamine	18	0.1	49.9	measured	10.1016/j.bpc.2008.02.009
Gln	glutamine	25	0.1	50.8	measured	10.1016/j.bpc.2008.02.009
Gln	glutamine	40	0.2	51.2	measured	10.1016/j.bpc.2008.02.009
Gln	glutamine	55	0.2	51.5	measured	10.1016/j.bpc.2008.02.009
Asp	aspartic acid (neutral)	18	0.4	30.7	measured	10.1016/j.bpc.2008.02.009
Asp	aspartic acid (neutral)	25	0.1	31.7	measured	10.1016/j.bpc.2008.02.009
Asp	aspartic acid (neutral)	40	0.4	32.4	measured	10.1016/j.bpc.2008.02.009
Asp	aspartic acid (neutral)	55	0.5	32.3	measured	10.1016/j.bpc.2008.02.009
Glu	glutamic acid (neutral)	18	0.5	46.7	measured	10.1016/j.bpc.2008.02.009
Glu	glutamic acid (neutral)	25	0.7	47.7	measured	10.1016/j.bpc.2008.02.009
Glu	glutamic acid (neutral)	40	0.2	48.0	measured	10.1016/j.bpc.2008.02.009
Glu	glutamic acid (neutral)	55	0.4	48.6	measured	10.1016/j.bpc.2008.02.009
His	histidine (neutral)	18	0.4	56.9	measured	10.1016/j.bpc.2008.02.009
His	histidine (neutral)	25	0.6	57.0	measured	10.1016/j.bpc.2008.02.009
His	histidine (neutral)	40	0.2	57.9	measured	10.1016/j.bpc.2008.02.009
His	histidine (neutral)	55	0.4	58.5	measured	10.1016/j.bpc.2008.02.009
Lys	lysine (neutral)	18	0.2	69.6	measured	10.1016/j.bpc.2008.02.009
Lys	lysine (neutral)	25	0.4	70.1	measured	10.1016/j.bpc.2008.02.009
Lys	lysine (neutral)	40	0.3	70.7	measured	10.1016/j.bpc.2008.02.009
Lys	lysine (neutral)	55	0.3	70.6	measured	10.1016/j.bpc.2008.02.009
Arg	arginine (neutral)	18	0.5	66.0	measured	10.1016/j.bpc.2008.02.009
Arg	arginine (neutral)	25	0.3	67.4	measured	10.1016/j.bpc.2008.02.009
Arg	arginine (neutral)	40	0.3	67.6	measured	10.1016/j.bpc.2008.02.009
Arg	arginine (neutral)	55	0.7	66.3	measured	10.1016/j.bpc.2008.02.009
Sec	selenocysteine	25	2.0	34.2	derived	10.1016/j.bpc.2008.02.009
Pyl	pyrrolysine	25	19.0	128.2	derived	10.1016/j.bpc.2008.02.009
A_RNA	adenine	25	0.18	87.22	measured	10.1007/BF00973047
A_RNA	adenine	25	0.22	88.59	measured	10.1007/s10953-008-9302-2
C_RNA	cytosine	25	0.12	73.15	measured	10.1007/BF00973047
G_RNA	guanine	25	7.0	91.2	derived	10.1007/BF00973047
U_RNA	uracil	25	0.17	71.94	measured	10.1007/BF00973047
U_RNA	uracil	25	0.10	72.02	measured	10.1007/s10953-008-9302-2
