common_name	iupac_name	formula	charge	v0_cm3_per_mol	uncertainty_cm3_per_mol	basis	doi
tetra-n-propylammonium chloride	tetrapropylazanium chloride	C12H28ClN	0	232.9	0.2	measured	10.1039/TF9666202738
tetra-n-butylammonium chloride	tetrabutylazanium chloride	C16H36ClN	0	294.3	0.2	measured	10.1039/TF9666202738
tetramethylammonium bromide	tetramethylazanium bromide	C4H12BrN	0	114.2	0.2	measured	10.1039/TF9666202738
tetraethylammonium bromide	tetraethylazanium bromide	C8H20BrN	0	174.3	0.2	measured	10.1039/TF9666202738
tetra-n-propylammonium bromide	tetrapropylazanium bromide	C12H28BrN	0	239.6	0.2	measured	10.1039/TF9666202738
tetra-n-butylammonium bromide	tetrabutylazanium bromide	C16H36BrN	0	301.0	0.2	measured	10.1039/TF9666202738
tetra-n-amylammonium bromide	tetrapentylazanium bromide	C20H44BrN	0	363.9	0.2	measured	10.1039/TF9666202738
tetramethylammonium iodide	tetramethylazanium iodide	C4H12IN	0	125.8	0.2	measured	10.1039/TF9666202738
tetraethylammonium iodide	tetraethylazanium iodide	C8H20IN	0	185.5	0.2	measured	10.1039/TF9666202738
tetra-n-propylammonium iodide	tetrapropylazanium iodide	C12H28IN	0	250.9	0.2	measured	10.1039/TF9666202738
tetra-n-butylammonium iodide	tetrabutylazanium iodide	C16H36IN	0	312.4	0.2	measured	10.1039/TF9666202738
carbonate	carbonate	CO3	-2	-5.8	1.6	derived	10.1016/j.jct.2003.12.008
bicarbonate	hydrogen carbonate	HCO3	-1	24.5	1.0	derived	10.1016/j.jct.2003.12.008
magnesium	magnesium(2+)	Mg	2	-20.1	2.0	derived	10.1016/j.jct.2006.09.008
strontium	strontium(2+)	Sr	2	-17.3	1.4	derived	10.1016/j.jct.2006.09.008
manganese(II)	manganese(2+)	Mn	2	-18.9	1.9	derived	10.1016/j.jct.2006.09.008
trisodium citrate	trisodium 2-hydroxypropane-1,2,3-tricarboxylate	C6H5Na3O7	0	57.1		measured	10.1016/j.molliq.2004.07.014
citrate	2-hydroxypropane-1,2,3-tricarboxylate	C6H5O7	-3	60.73		derived	10.1016/j.molliq.2004.07.014
potassium nitrate	potassium nitrate	KNO3	0	35.94	0.07	measured	10.1016/j.molliq.2007.01.004
ammonium sulfate	diammonium sulfate	H8N2O4S	0	55.04	0.11	measured	10.1016/j.molliq.2007.01.004
tetrabutylammonium bromide	tetrabutylazanium bromide	C16H36BrN	0	295.80	0.44	measured	10.1016/j.molliq.2007.01.004
tetrabutylammonium iodide	tetrabutylazanium iodide	C16H36IN	0	298.65	0.57	measured	10.1016/j.molliq.2007.01.004
ammonium nickel sulfate	diammonium nickel disulfate	H32N2NiO20S2	0	67.90	0.60	measured	10.1016/j.molliq.2007.01.004
ammonium aluminium sulfate	ammonium aluminium disulfate	H28AlNO20S2	0	291.34	0.06	measured	10.1016/j.molliq.2007.01.004
potassium aluminium sulfate	potassium aluminium disulfate	AlH24KO20S2	0	281.73	0.88	measured	10.1016/j.molliq.2007.01.004
ammonium ceric nitrate	diammonium hexanitratocerate(2-)	CeH8N8O18	0	222.19	0.15	measured	10.1016/j.molliq.2007.01.004
sodium	sodium(1+)	Na	1	-1.21		derived	10.1139/v88-151
potassium	potassium(1+)	K	1	9.00		derived	10.1139/v88-151
tetramethylammonium	tetramethylazanium	C4H12N	1	89.38		derived	10.1139/v88-151
chloride	chloride	Cl	-1	17.89		derived	10.1139/v88-151
perchlorate	perchlorate	ClO4	-1	43.99		derived	10.1139/v88-151
hydroxide	hydroxide	OH	-1	-4.05		derived	10.1139/v88-151
EDTA	2,2',2'',2'''-(ethane-1,2-diyldinitrilo)tetraacetate	C10H12N2O8	-4	131		derived	10.1139/v88-151
HEDTA	hydrogen 2,2',2'',2'''-(ethane-1,2-diyldinitrilo)tetraacetate	C10H13N2O8	-3	151.2		derived	10.1139/v88-151
H2EDTA	dihydrogen 2,2',2'',2'''-(ethane-1,2-diyldinitrilo)tetraacetate	C10H14N2O8	-2	156.3		derived	10.1139/v88-151
NaEDTA	sodium 2,2',2'',2'''-(ethane-1,2-diyldinitrilo)tetraacetate	C10H12N2NaO8	-3	148		derived	10.1139/v88-151
KEDTA	potassium 2,2',2'',2'''-(ethane-1,2-diyldinitrilo)tetraacetate	C10H12KN2O8	-3	151		derived	10.1139/v88-151
cobalt(II) chloride	cobalt(2+) dichloride	CoCl2	0	8.31		measured	10.1021/je9502410
cobalt(II) bromide	cobalt(2+) dibromide	CoBr2	0	20.1		measured	10.1021/je9502410
cobalt	cobalt(2+)	Co	2	-27.4		derived	10.1021/je9502410
bromide	bromide	Br	-1	23.8		derived	10.1021/je9502410
nickel(II) chloride	nickel(2+) dichloride	NiCl2	0	5.26		measured	10.1021/je960349v
nickel(II) bromide	nickel(2+) dibromide	NiBr2	0	19.28		measured	10.1021/je960349v
sodium formate	sodium formate	CHNaO2	0	25.22		measured	10.1080/00319101003646579
sodium acetate	sodium acetate	C2H3NaO2	0	39.25		measured	10.1080/00319101003646579
sodium propanoate	sodium propanoate	C3H5NaO2	0	53.73		measured	10.1080/00319101003646579
sodium butanoate	sodium butanoate	C4H7NaO2	0	69.31		measured	10.1080/00319101003646579
sodium pentanoate	sodium pentanoate	C5H9NaO2	0	85.16		measured	10.1080/00319101003646579
sodium hexanoate	sodium hexanoate	C6H11NaO2	0	100.71		measured	10.1080/00319101003646579
sodium heptanoate	sodium heptanoate	C7H13NaO2	0	116.04		measured	10.1080/00319101003646579
sodium octanoate	sodium octanoate	C8H15NaO2	0	131.56		measured	10.1080/00319101003646579
sodium nonanoate	sodium nonanoate	C9H17NaO2	0	147.15		measured	10.1080/00319101003646579
sodium oxalate	disodium ethanedioate	C2Na2O4	0	23.73		measured	10.1080/00319101003646579
sodium malonate	disodium propanedioate	C3H2Na2O4	0	38.52		measured	10.1080/00319101003646579
sodium succinate	disodium butanedioate	C4H4Na2O4	0	53.95		measured	10.1080/00319101003646579
sodium glutarate	disodium pentanedioate	C5H6Na2O4	0	69.90		measured	10.1080/00319101003646579
sodium adipate	disodium hexanedioate	C6H8Na2O4	0	85.78		measured	10.1080/00319101003646579
sodium pimelate	disodium heptanedioate	C7H10Na2O4	0	101.33		measured	10.1080/00319101003646579
sodium suberate	disodium octanedioate	C8H12Na2O4	0	116.79		measured	10.1080/00319101003646579
sodium chloroacetate	sodium 2-chloroacetate	C2H2ClNaO2	0	67.44		measured	10.1080/00319101003646579
sodium 1-chloropropanoate	sodium 1-chloropropanoate	C3H4ClNaO2	0	81.58		measured	10.1080/00319101003646579
sodium 1-chlorobutanoate	sodium 1-chlorobutanoate	C4H6ClNaO2	0	97.31		measured	10.1080/00319101003646579
sodium 1-chloropentanoate	sodium 1-chloropentanoate	C5H8ClNaO2	0	113.17		measured	10.1080/00319101003646579
cobalt(II) sulfate	cobalt(2+) sulfate	CoSO4	0	-11.3		derived	10.1021/acs.jced.0c00407
nickel(II) sulfate	nickel(2+) sulfate	NiSO4	0	-15.3		derived	10.1021/acs.jced.0c00407
copper(II) sulfate	copper(2+) sulfate	CuSO4	0	-11.1		derived	10.1021/acs.jced.0c00407
lithium sulfate	dilithium sulfate	Li2SO4	0	12.61		measured	10.1021/acs.jced.6b00519
lithium trifluoromethanesulfonate	lithium trifluoromethanesulfonate	LiCF3SO3	0	74.39		measured	10.1021/acs.jced.6b00519
sodium fluoride	sodium fluoride	NaF	0	-2.426		measured	10.1063/1.555981
hydrochloric acid	chlorane	HCl	0	17.824		measured	10.1063/1.555981
lithium chloride	lithium chloride	LiCl	0	16.866		measured	10.1063/1.555981
sodium chloride	sodium chloride	NaCl	0	16.620		measured	10.1063/1.555981
potassium chloride	potassium chloride	KCl	0	26.848		measured	10.1063/1.555981
rubidium chloride	rubidium chloride	RbCl	0	31.943		measured	10.1063/1.555981
cesium chloride	caesium chloride	CsCl	0	39.155		measured	10.1063/1.555981
magnesium chloride	magnesium dichloride	MgCl2	0	14.083		measured	10.1063/1.555981
calcium chloride	calcium dichloride	CaCl2	0	17.612		measured	10.1063/1.555981
strontium chloride	strontium dichloride	SrCl2	0	18.400		measured	10.1063/1.555981
barium chloride	barium dichloride	BaCl2	0	22.975		measured	10.1063/1.555981
sodium bromide	sodium bromide	NaBr	0	23.479		measured	10.1063/1.555981
sodium iodide	sodium iodide	NaI	0	34.998		measured	10.1063/1.555981
thallium nitrate	thallium nitrate	TlNO3	0	39.701		measured	10.1063/1.555981
silver nitrate	silver nitrate	AgNO3	0	27.558		measured	10.1063/1.555981
sodium perchlorate	sodium perchlorate	NaClO4	0	43.140		measured	10.1063/1.555981
sodium dihydrogen phosphate	sodium dihydrogen phosphate	NaH2PO4	0	24.124		measured	10.1063/1.555981
sodium acetate	sodium acetate	C2H3NaO2	0	39.152		measured	10.1063/1.555981
beryllium sulfate	beryllium sulfate	BeSO4	0	3.680		measured	10.1063/1.555981
potassium thiocyanate	potassium thiocyanate	KSCN	0	49.434		measured	10.1063/1.555981
potassium bromate	potassium bromate	KBrO3	0	43.034		measured	10.1063/1.555981
cadmium nitrate	cadmium dinitrate	CdN2O6	0	43.883		measured	10.1063/1.555981
cobalt nitrate	cobalt dinitrate	CoN2O6	0	29.569		measured	10.1063/1.555981
lead nitrate	lead dinitrate	PbN2O6	0	39.769		measured	10.1063/1.555981
